mnt_comb,est_before,dens_before,est_after,dens_after,trans_prob,concentration
G+LR,0.5,L,0.1,H,0.020749721,0.020749721
G+LR,0.5,L,0.5,L,0.257398608,0.257398608
G+LR,0.5,L,0.5,H,0.007476392,0.007476392
G+LR,0.5,L,1,L,0,0
G+LR,0.5,L,1,H,0,0
GLR,0.5,L,0.1,L,0.483327257,0.483327257
GLR,0.5,L,0.1,H,0.023962743,0.023962743
GLR,0.5,L,0.5,L,0.469435969,0.469435969
GLR,0.5,L,0.5,H,0.023274031,0.023274031
GLR,0.5,L,1,L,0,0
GLR,0.5,L,1,H,0,0
G+BR,0.5,L,0.1,L,0.670383625,0.670383625
G+BR,0.5,L,0.1,H,0.021051375,0.021051375
G+BR,0.5,L,0.5,L,0.299170455,0.299170455
G+BR,0.5,L,0.5,H,0.009394545,0.009394545
G+BR,0.5,L,1,L,0,0
G+BR,0.5,L,1,H,0,0
IRR,0.5,L,0.1,L,0.518190201,0.518190201
IRR,0.5,L,0.1,H,0.021392299,0.021392299
IRR,0.5,L,0.5,L,0.442163778,0.442163778
IRR,0.5,L,0.5,H,0.018253722,0.018253722
IRR,0.5,L,1,L,0,0
IRR,0.5,L,1,H,0,0
GBR,0.5,L,0.1,L,0.450882687,0.450882687
GBR,0.5,L,0.1,H,0.023792313,0.023792313
GBR,0.5,L,0.5,L,0.498993938,0.498993938
GBR,0.5,L,0.5,H,0.026331062,0.026331062
GBR,0.5,L,1,L,0,0
GBR,0.5,L,1,H,0,0
GRR,0.5,L,0.1,L,0.320250668,0.320250668
GRR,0.5,L,0.1,H,0.022034332,0.022034332
GRR,0.5,L,0.5,L,0.615375105,0.615375105
GRR,0.5,L,0.5,H,0.042339895,0.042339895
GRR,0.5,L,1,L,0,0
GRR,0.5,L,1,H,0,0
RPF,0.5,L,0.1,L,5.54E-06,5.54E-06
RPF,0.5,L,0.1,H,1.96E-06,1.96E-06
RPF,0.5,L,0.5,L,0.738061761,0.738061761
RPF,0.5,L,0.5,H,0.261930739,0.261930739
RPF,0.5,L,1,L,0,0
RPF,0.5,L,1,H,0,0
RRR,0.5,L,0.1,L,0,0
RRR,0.5,L,0.1,H,0,0
RRR,0.5,L,0.5,L,0.468012232,0.468012232
RRR,0.5,L,0.5,H,0.332092768,0.332092768
RRR,0.5,L,1,L,0.116926285,0.116926285
RRR,0.5,L,1,H,0.082968715,0.082968715
CRC,0.5,L,0.1,L,0.998833844,0.998833844
CRC,0.5,L,0.1,H,0.001166156,0.001166156
CRC,0.5,L,0.5,L,0,0
CRC,0.5,L,0.5,H,0,0
CRC,0.5,L,1,L,0,0
CRC,0.5,L,1,H,0,0
SRS,0.5,L,0.1,L,0.428385378,0.428385378
SRS,0.5,L,0.1,H,0.027372122,0.027372122
SRS,0.5,L,0.5,L,0.5115561,0.5115561
SRS,0.5,L,0.5,H,0.0326864,0.0326864
SRS,0.5,L,1,L,0,0
SRS,0.5,L,1,H,0,0
GRG,1,H,0.1,L,0.148746719,0.148746719
GRG,1,H,0.1,H,0.007509281,0.007509281
GRG,1,H,0.5,L,0.803195727,0.803195727
GRG,1,H,0.5,H,0.040548273,0.040548273
GRG,1,H,1,L,0,0
GRG,1,H,1,H,0,0
G+PF,1,H,0.1,L,0.433490682,0.433490682
G+PF,1,H,0.1,H,0.011183318,0.011183318
G+PF,1,H,0.5,L,0.541359842,0.541359842
G+PF,1,H,0.5,H,0.013966158,0.013966158
G+PF,1,H,1,L,0,0
G+PF,1,H,1,H,0,0
GPF,1,H,0.1,L,0.041872647,0.041872647
GPF,1,H,0.1,H,0.002771353,0.002771353
GPF,1,H,0.5,L,0.896050641,0.896050641
GPF,1,H,0.5,H,0.059305359,0.059305359
GPF,1,H,1,L,0,0
GPF,1,H,1,H,0,0
G+FF,1,H,0.1,L,0.077897426,0.077897426
