"mnt_comb","state_begin","state_end","trans_prob","concentration"
"GFF",5,6,6.66666666315763e-10,6.66666666315763e-10
"GFF",6,1,6.10875000000205e-05,6.10875000000205e-05
"GFF",6,2,6.93750000002046e-06,6.93750000002046e-06
"GFF",6,3,0.8977424875,0.8977424875
"GFF",6,4,0.1021894875,0.1021894875
"GFF",6,5,0,0
"GFF",6,6,0,0
"GLR",1,1,0.95286027,0.95286027
"GLR",1,2,0.04713973,0.04713973
"GLR",1,3,0,0
"GLR",1,4,0,0
"GLR",1,5,0,0
"GLR",1,6,0,0
"GLR",2,1,0.819484663,0.819484663
"GLR",2,2,0.180515337,0.180515337
"GLR",2,3,0,0
"GLR",2,4,0,0
"GLR",2,5,0,0
"GLR",2,6,0,0
"GLR",3,1,0.483327257,0.483327257
"GLR",3,2,0.023962743,0.023962743
"GLR",3,3,0.469435969,0.469435969
"GLR",3,4,0.023274031,0.023274031
"GLR",3,5,0,0
"GLR",3,6,0,0
"GLR",4,1,0.343944404,0.343944404
"GLR",4,2,0.076058096,0.076058096
"GLR",4,3,0.474965969,0.474965969
"GLR",4,4,0.105031531,0.105031531
"GLR",4,5,0,0
"GLR",4,6,0,0
"GLR",5,1,0,0
"GLR",5,2,0,0
"GLR",5,3,0.952641762,0.952641762
"GLR",5,4,0.047358238,0.047358238
"GLR",5,5,0,0
"GLR",5,6,0,0
"GLR",6,1,0,0
"GLR",6,2,0,0
"GLR",6,3,0.818190858,0.818190858
"GLR",6,4,0.181809142,0.181809142
"GLR",6,5,0,0
"GLR",6,6,0,0
"GPF",1,1,0.978219029,0.978219029
"GPF",1,2,0.021780971,0.021780971
"GPF",1,3,0,0
"GPF",1,4,0,0
"GPF",1,5,0,0
"GPF",1,6,0,0
"GPF",2,1,0.938615283,0.938615283
"GPF",2,2,0.061384717,0.061384717
"GPF",2,3,0,0
"GPF",2,4,0,0
"GPF",2,5,0,0
"GPF",2,6,0,0
"GPF",3,1,0.940010469,0.940010469
"GPF",3,2,0.020899531,0.020899531
"GPF",3,3,0.038239803,0.038239803
"GPF",3,4,0.000850197,0.000850197
"GPF",3,5,0,0
"GPF",3,6,0,0
"GPF",4,1,0.894533885,0.894533885
"GPF",4,2,0.058813615,0.058813615
"GPF",4,3,0.043774429,0.043774429
"GPF",4,4,0.002878071,0.002878071
"GPF",4,5,0,0
"GPF",4,6,0,0
"GPF",5,1,0.036558671,0.036558671
"GPF",5,2,0.000811329,0.000811329
"GPF",5,3,0.94173063,0.94173063
"GPF",5,4,0.02089937,0.02089937
"GPF",5,5,0,0
"GPF",5,6,0,0
"GPF",6,1,0.041872647,0.041872647
"GPF",6,2,0.002771353,0.002771353
"GPF",6,3,0.896050641,0.896050641
"GPF",6,4,0.059305359,0.059305359
"GPF",6,5,0,0
"GPF",6,6,0,0
"GRG",1,1,0.981969369,0.981969369
"GRG",1,2,0.018030631,0.018030631
"GRG",1,3,0,0
"GRG",1,4,0,0
"GRG",1,5,0,0
"GRG",1,6,0,0
"GRG",2,1,0.952545623,0.952545623
"GRG",2,2,0.047454377,0.047454377
"GRG",2,3,0,0
"GRG",2,4,0,0
"GRG",2,5,0,0
"GRG",2,6,0,0
"GRG",3,1,0.976371292,0.976371292
"GRG",3,2,0.017881208,0.017881208
"GRG",3,3,0.005644134,0.005644134
"GRG",3,4,0.000103366,0.000103366
"GRG",3,5,0,0
"GRG",3,6,0,0
"GRG",4,1,0.947050069,0.947050069
"GRG",4,2,0.047459931,0.047459931
"GRG",4,3,0.005228007,0.005228007
"GRG",4,4,0.000261993,0.000261993
"GRG",4,5,0,0
"GRG",4,6,0,0
"GRG",5,1,0.118223904,0.118223904
"GRG",5,2,0.002158096,0.002158096
"GRG",5,3,0.863849034,0.863849034
"GRG",5,4,0.015768966,0.015768966
"GRG",5,5,0,0
"GRG",5,6,0,0
"GRG",6,1,0.148746719,0.148746719
"GRG",6,2,0.007509281,0.007509281
"GRG",6,3,0.803195727,0.803195727
"GRG",6,4,0.040548273,0.040548273
"GRG",6,5,0,0
"GRG",6,6,0,0
"GRR",1,1,0.935829705,0.935829705
"GRR",1,2,0.064170295,0.064170295
"GRR",1,3,0,0
"GRR",1,4,0,0
"GRR",1,5,0,0
"GRR",1,6,0,0
"GRR",2,1,0.72382059,0.72382059
"GRR",2,2,0.27617941,0.27617941
"GRR",2,3,0,0
"GRR",2,4,0,0
"GRR",2,5,0,0
"GRR",2,6,0,0
"GRR",3,1,0.320250668,0.320250668
"GRR",3,2,0.022034332,0.022034332
"GRR",3,3,0.615375105,0.615375105
"GRR",3,4,0.042339895,0.042339895
"GRR",3,5,0,0
"GRR",3,6,0,0
"GRR",4,1,0.179276978,0.179276978
"GRR",4,2,0.068648022,0.068648022
"GRR",4,3,0.543832744,0.543832744
"GRR",4,4,0.208242256,0.208242256
"GRR",4,5,0,0
"GRR",4,6,0,0
"GRR",5,1,0,0
"GRR",5,2,0,0
"GRR",5,3,0.871694029,0.871694029
"GRR",5,4,0.060229971,0.060229971
"GRR",5,5,0.063676268,0.063676268
"GRR",5,6,0.004399732,0.004399732
"GRR",6,1,0,0
"GRR",6,2,0,0
"GRR",6,3,0.670882939,0.670882939
"GRR",6,4,0.258035061,0.258035061
"GRR",6,5,0.051336825,0.051336825
"GRR",6,6,0.019745175,0.019745175
"IRR",1,1,0.960489429,0.960489429
"IRR",1,2,0.039510571,0.039510571
"IRR",1,3,0,0
"IRR",1,4,0,0
"IRR",1,5,0,0
"IRR",1,6,0,0
"IRR",2,1,0.837001728,0.837001728
"IRR",2,2,0.162998272,0.162998272
"IRR",2,3,0,0
"IRR",2,4,0,0
"IRR",2,5,0,0
"IRR",2,6,0,0
"IRR",3,1,0.518190201,0.518190201
"IRR",3,2,0.021392299,0.021392299
"IRR",3,3,0.442163778,0.442163778
"IRR",3,4,0.018253722,0.018253722
"IRR",3,5,0,0
"IRR",3,6,0,0
"IRR",4,1,0.388850541,0.388850541
"IRR",4,2,0.076064459,0.076064459
"IRR",4,3,0.44754007,0.44754007
"IRR",4,4,0.08754493,0.08754493
"IRR",4,5,0,0
"IRR",4,6,0,0
"IRR",5,1,0,0
"IRR",5,2,0,0
"IRR",5,3,0.960184321,0.960184321
"IRR",5,4,0.039815679,0.039815679
"IRR",5,5,0,0
"IRR",5,6,0,0
"IRR",6,1,0,0
"IRR",6,2,0,0
"IRR",6,3,0.835624603,0.835624603
"IRR",6,4,0.164375397,0.164375397
"IRR",6,5,0,0
"IRR",6,6,0,0
"RPF",1,1,0.31035085,0.31035085
"RPF",1,2,0.110003696,0.110003696
"RPF",1,3,0.427956498,0.427956498
"RPF",1,4,0.151688956,0.151688956
"RPF",1,5,0,0
"RPF",1,6,0,0
"RPF",2,1,0.002999385,0.002999385
"RPF",2,2,0.012191524,0.012191524
"RPF",2,3,0.194446668,0.194446668
"RPF",2,4,0.790362423,0.790362423
"RPF",2,5,0,0
"RPF",2,6,0,0
"RPF",3,1,5.54e-06,5.54e-06
"RPF",3,2,1.96e-06,1.96e-06
"RPF",3,3,0.738061761,0.738061761
"RPF",3,4,0.261930739,0.261930739
"RPF",3,5,0,0
"RPF",3,6,0,0
"RPF",4,1,5.00000004362751e-10,5.00000004362751e-10
"RPF",4,2,5.00000004362751e-10,5.00000004362751e-10
"RPF",4,3,0.1974458055,0.1974458055
"RPF",4,4,0.8025491955,0.8025491955
"RPF",4,5,9.87500000004363e-07,9.87500000004363e-07
"RPF",4,6,4.01050000000436e-06,4.01050000000436e-06
"RPF",5,1,0,0
"RPF",5,2,0,0
"RPF",5,3,0.153257827,0.153257827
"RPF",5,4,0.054474173,0.054474173
"RPF",5,5,0.584509232,0.584509232
"RPF",5,6,0.207758768,0.207758768
"RPF",6,1,0,0
"RPF",6,2,0,0
"RPF",6,3,0.029609655,0.029609655
"RPF",6,4,0.120352345,0.120352345
"RPF",6,5,0.167838062,0.167838062
"RPF",6,6,0.682199938,0.682199938
"RRR",1,1,0.010345707,0.010345707
"RRR",1,2,0.007308838,0.007308838
"RRR",1,3,0.575662423,0.575662423
"RRR",1,4,0.406683032,0.406683032
"RRR",1,5,0,0
"RRR",1,6,0,0
"RRR",2,1,0,0
"RRR",2,2,0,0
"RRR",2,3,0.033250822,0.033250822
"RRR",2,4,0.966749178,0.966749178
"RRR",2,5,0,0
"RRR",2,6,0,0
"RRR",3,1,0,0
"RRR",3,2,0,0
"RRR",3,3,0.468012232,0.468012232
"RRR",3,4,0.332092768,0.332092768
"RRR",3,5,0.116926285,0.116926285
"RRR",3,6,0.082968715,0.082968715
"RRR",4,1,0,0
"RRR",4,2,0,0
"RRR",4,3,0.022996833,0.022996833
"RRR",4,4,0.668110667,0.668110667
"RRR",4,5,0.010278501,0.010278501
"RRR",4,6,0.298613999,0.298613999
"RRR",5,1,0,0
"RRR",5,2,0,0
"RRR",5,3,0,0
"RRR",5,4,0,0
"RRR",5,5,0.583600503,0.583600503
"RRR",5,6,0.416399497,0.416399497
"RRR",6,1,0,0
"RRR",6,2,0,0
"RRR",6,3,0,0
"RRR",6,4,0,0
"RRR",6,5,0.033305988,0.033305988
"RRR",6,6,0.966694012,0.966694012
"SRS",1,1,0.939963291,0.939963291
"SRS",1,2,0.060036709,0.060036709
"SRS",1,3,0,0
"SRS",1,4,0,0
"SRS",1,5,0,0
"SRS",1,6,0,0
"SRS",2,1,0.791014675,0.791014675
"SRS",2,2,0.208985325,0.208985325
"SRS",2,3,0,0
"SRS",2,4,0,0
"SRS",2,5,0,0
"SRS",2,6,0,0
"SRS",3,1,0.428385378,0.428385378
"SRS",3,2,0.027372122,0.027372122
"SRS",3,3,0.5115561,0.5115561
"SRS",3,4,0.0326864,0.0326864
"SRS",3,5,1.85037170770859e-17,1.85037170770859e-17
"SRS",3,6,1.85037170770859e-17,1.85037170770859e-17
"SRS",4,1,0.274011993,0.274011993
"SRS",4,2,0.072613007,0.072613007
"SRS",4,3,0.516502231,0.516502231
"SRS",4,4,0.136872769,0.136872769
"SRS",4,5,0,0
"SRS",4,6,0,0
"SRS",5,1,0,0
"SRS",5,2,0,0
"SRS",5,3,0.939914205,0.939914205
"SRS",5,4,0.060085795,0.060085795
"SRS",5,5,0,0
"SRS",5,6,0,0
"SRS",6,1,0,0
"SRS",6,2,0,0
"SRS",6,3,0.789887616,0.789887616
"SRS",6,4,0.210112384,0.210112384
"SRS",6,5,0,0
"SRS",6,6,0,0
