est_before,dens_before,treatment,est_after,pr_est_after,respondent,change_dens,,,
20,L,GRR,10,80,1,0,,,
20,L,GRR,20,20,1,0,,,
20,L,GRR,30,0,1,0,,,
20,L,GRR,40,0,1,0,,,
20,L,GRR,50,0,1,0,,,
20,L,GRR,60,0,1,0,,,
20,L,GRR,70,0,1,0,,,
20,L,GRR,80,0,1,0,,,
20,L,GRR,90,0,1,0,,,
20,L,GRR,100,0,1,0,,,
20,L,GRR,10,70,2,0,,,
20,L,GRR,20,30,2,0,,,
20,L,GRR,30,0,2,0,,,
20,L,GRR,40,0,2,0,,,
20,L,GRR,50,0,2,0,,,
20,L,GRR,60,0,2,0,,,
20,L,GRR,70,0,2,0,,,
20,L,GRR,80,0,2,0,,,
20,L,GRR,90,0,2,0,,,
20,L,GRR,100,0,2,0,,,
20,L,GRR,10,95,3,0,,,
20,L,GRR,20,5,3,0,,,
20,L,GRR,30,0,3,0,,,
20,L,GRR,40,0,3,0,,,
20,L,GRR,50,0,3,0,,,
20,L,GRR,60,0,3,0,,,
20,L,GRR,70,0,3,0,,,
20,L,GRR,80,0,3,0,,,
20,L,GRR,90,0,3,0,,,
20,L,GRR,100,0,3,0,,,
20,L,GRR,10,70,4,5,,,
20,L,GRR,20,30,4,5,,,
20,L,GRR,30,0,4,5,,,
20,L,GRR,40,0,4,5,,,
20,L,GRR,50,0,4,5,,,
20,L,GRR,60,0,4,5,,,
20,L,GRR,70,0,4,5,,,
20,L,GRR,80,0,4,5,,,
20,L,GRR,90,0,4,5,,,
20,L,GRR,100,0,4,5,,,
20,L,GRR,10,50,5,30,,,
20,L,GRR,20,40,5,30,,,
20,L,GRR,30,10,5,30,,,
20,L,GRR,40,0,5,30,,,
20,L,GRR,50,0,5,30,,,
20,L,GRR,60,0,5,30,,,
20,L,GRR,70,0,5,30,,,
20,L,GRR,80,0,5,30,,,
20,L,GRR,90,0,5,30,,,
20,L,GRR,100,0,5,30,,,
20,L,GRR,10,90,6,0,,,
20,L,GRR,20,10,6,0,,,
20,L,GRR,30,0,6,0,,,
20,L,GRR,40,0,6,0,,,
20,L,GRR,50,0,6,0,,,
20,L,GRR,60,0,6,0,,,
20,L,GRR,70,0,6,0,,,
20,L,GRR,80,0,6,0,,,
20,L,GRR,90,0,6,0,,,
20,L,GRR,100,0,6,0,,,
20,L,GRR,10,50,7,10,,,
20,L,GRR,20,50,7,10,,,
20,L,GRR,30,0,7,10,,,
20,L,GRR,40,0,7,10,,,
20,L,GRR,50,0,7,10,,,
20,L,GRR,60,0,7,10,,,
20,L,GRR,70,0,7,10,,,
20,L,GRR,80,0,7,10,,,
20,L,GRR,90,0,7,10,,,
20,L,GRR,100,0,7,10,,,
20,L,GRR,10,30,8,10,,,
20,L,GRR,20,50,8,10,,,
20,L,GRR,30,20,8,10,,,
20,L,GRR,40,0,8,10,,,
20,L,GRR,50,0,8,10,,,
20,L,GRR,60,0,8,10,,,
20,L,GRR,70,0,8,10,,,
20,L,GRR,80,0,8,10,,,
20,L,GRR,90,0,8,10,,,
20,L,GRR,100,0,8,10,,,
20,L,GRR,10,60,9,25,,,
20,L,GRR,20,25,9,25,,,
20,L,GRR,30,15,9,25,,,
20,L,GRR,40,0,9,25,,,
20,L,GRR,50,0,9,25,,,
20,L,GRR,60,0,9,25,,,
20,L,GRR,70,0,9,25,,,
20,L,GRR,80,0,9,25,,,
20,L,GRR,90,0,9,25,,,
20,L,GRR,100,0,9,25,,,
20,H,GRR,10,95,1,95,,,
20,H,GRR,20,5,1,95,,,
20,H,GRR,30,0,1,95,,,
20,H,GRR,40,0,1,95,,,
20,H,GRR,50,0,1,95,,,
20,H,GRR,60,0,1,95,,,
20,H,GRR,70,0,1,95,,,
20,H,GRR,80,0,1,95,,,
20,H,GRR,90,0,1,95,,,
20,H,GRR,100,0,1,95,,,
20,H,GRR,10,80,2,90,,,
20,H,GRR,20,20,2,90,,,
20,H,GRR,30,0,2,90,,,
20,H,GRR,40,0,2,90,,,
20,H,GRR,50,0,2,90,,,
20,H,GRR,60,0,2,90,,,
20,H,GRR,70,0,2,90,,,
20,H,GRR,80,0,2,90,,,
20,H,GRR,90,0,2,90,,,
20,H,GRR,100,0,2,90,,,
20,H,GRR,10,95,3,95,,,
20,H,GRR,20,5,3,95,,,
20,H,GRR,30,0,3,95,,,
20,H,GRR,40,0,3,95,,,
20,H,GRR,50,0,3,95,,,
20,H,GRR,60,0,3,95,,,
20,H,GRR,70,0,3,95,,,
20,H,GRR,80,0,3,95,,,
20,H,GRR,90,0,3,95,,,
20,H,GRR,100,0,3,95,,,
20,H,GRR,10,65,4,65,,,
20,H,GRR,20,35,4,65,,,
20,H,GRR,30,0,4,65,,,
20,H,GRR,40,0,4,65,,,
20,H,GRR,50,0,4,65,,,
20,H,GRR,60,0,4,65,,,
20,H,GRR,70,0,4,65,,,
20,H,GRR,80,0,4,65,,,
20,H,GRR,90,0,4,65,,,
20,H,GRR,100,0,4,65,,,
20,H,GRR,10,40,5,50,,,
20,H,GRR,20,50,5,50,,,
20,H,GRR,30,10,5,50,,,
20,H,GRR,40,0,5,50,,,
20,H,GRR,50,0,5,50,,,
20,H,GRR,60,0,5,50,,,
20,H,GRR,70,0,5,50,,,
20,H,GRR,80,0,5,50,,,
20,H,GRR,90,0,5,50,,,
20,H,GRR,100,0,5,50,,,
20,H,GRR,10,90,6,90,,,
20,H,GRR,20,10,6,90,,,
20,H,GRR,30,0,6,90,,,
20,H,GRR,40,0,6,90,,,
20,H,GRR,50,0,6,90,,,
20,H,GRR,60,0,6,90,,,
20,H,GRR,70,0,6,90,,,
20,H,GRR,80,0,6,90,,,
20,H,GRR,90,0,6,90,,,
20,H,GRR,100,0,6,90,,,
20,H,GRR,10,30,7,70,,,
20,H,GRR,20,60,7,70,,,
20,H,GRR,30,10,7,70,,,
20,H,GRR,40,0,7,70,,,
20,H,GRR,50,0,7,70,,,
20,H,GRR,60,0,7,70,,,
20,H,GRR,70,0,7,70,,,
20,H,GRR,80,0,7,70,,,
20,H,GRR,90,0,7,70,,,
20,H,GRR,100,0,7,70,,,
20,H,GRR,10,0,8,50,,,
20,H,GRR,20,30,8,50,,,
20,H,GRR,30,50,8,50,,,
20,H,GRR,40,20,8,50,,,
20,H,GRR,50,0,8,50,,,
20,H,GRR,60,0,8,50,,,
20,H,GRR,70,0,8,50,,,
20,H,GRR,80,0,8,50,,,
20,H,GRR,90,0,8,50,,,
20,H,GRR,100,0,8,50,,,
20,H,GRR,10,45,9,60,,,
20,H,GRR,20,40,9,60,,,
20,H,GRR,30,15,9,60,,,
